layer_idx,base_alpha,ft_alpha,delta_alpha,abs_delta,layer_name
140,6.665096499997024,4.342209774871256,-2.3228867251257688,2.3228867251257688,down_proj
38,8.56501929644848,6.246427784408598,-2.3185915120398812,2.3185915120398812,v_proj
146,7.04596555249428,5.056319648237313,-1.9896459042569674,1.9896459042569674,up_proj
154,8.66386995955176,6.760263036973688,-1.9036069225780725,1.9036069225780725,down_proj
185,9.382945147948934,7.503320169111231,-1.879624978837703,1.879624978837703,v_proj
48,6.868072132907796,5.002958746874855,-1.8651133860329407,1.8651133860329407,up_proj
55,6.736516370452394,4.8862405130245845,-1.8502758574278095,1.8502758574278095,up_proj
63,4.117004514630958,5.95116413252325,1.8341596178922916,1.8341596178922916,down_proj
3,4.934958161474038,3.1657030687034062,-1.7692550927706314,1.7692550927706314,v_proj
52,8.437515200347004,6.711198017545077,-1.7263171828019273,1.7263171828019273,v_proj
151,6.306318978047859,4.611985219808,-1.6943337582398588,1.6943337582398588,o_proj
179,6.1490511975519,4.45822080471543,-1.69083039283647,1.69083039283647,o_proj
10,4.296288497627784,5.960298752817389,1.6640102551896048,1.6640102551896048,v_proj
73,8.049181040866793,6.5132680298175645,-1.535913011049229,1.535913011049229,v_proj
139,6.47217202835524,5.005873758061717,-1.4662982702935237,1.4662982702935237,up_proj
217,7.032723289596029,5.607769835925429,-1.4249534536706001,1.4249534536706001,down_proj
158,5.638950859247898,4.301891867430818,-1.3370589918170799,1.3370589918170799,o_proj
62,6.229222762065504,4.902490885666598,-1.326731876398906,1.326731876398906,up_proj
213,10.555857604097925,9.248365396640704,-1.307492207457221,1.307492207457221,v_proj
172,5.54507056811317,4.270166581186334,-1.2749039869268355,1.2749039869268355,o_proj
171,8.13229257423713,6.867365581027043,-1.2649269932100875,1.2649269932100875,v_proj
125,6.0139861131568635,4.750418057213187,-1.2635680559436766,1.2635680559436766,up_proj
200,5.685680496538801,4.440983817462671,-1.2446966790761298,1.2446966790761298,o_proj
118,5.902660350907221,4.6596306694213805,-1.2430296814858401,1.2430296814858401,up_proj
6,3.2522242330157725,4.438862624547575,1.1866383915318024,1.1866383915318024,up_proj
209,6.0114000467044635,4.841248517182216,-1.170151529522247,1.170151529522247,up_proj
17,9.049457240493458,7.879760213555989,-1.1696970269374694,1.1696970269374694,v_proj
111,5.523060869069844,4.35355231074929,-1.1695085583205538,1.1695085583205538,up_proj
132,6.017706400034797,4.851963275583632,-1.165743124451165,1.165743124451165,up_proj
207,6.201438796345565,5.078708186419805,-1.1227306099257603,1.1227306099257603,o_proj
28,6.288865751794658,5.168878791517604,-1.1199869602770542,1.1199869602770542,down_proj
192,6.975699923439467,5.9073623919342095,-1.0683375315052572,1.0683375315052572,v_proj
183,4.330342427571038,3.3002465841106527,-1.0300958434603853,1.0300958434603853,q_proj
178,7.263973415136957,6.2598238370203205,-1.0041495781166363,1.0041495781166363,v_proj
124,4.833561235337231,3.8800709440854972,-0.9534902912517338,0.9534902912517338,gate_proj
186,4.994999690107118,4.046213410530109,-0.9487862795770088,0.9487862795770088,o_proj
187,5.61864776528025,4.681358839579993,-0.9372889257002566,0.9372889257002566,gate_proj
24,6.907732194806015,6.012975213620786,-0.8947569811852292,0.8947569811852292,v_proj
